date,runoff,soilstore,snowpack,meltwater,T,P,PET
1993-04-29,0.0422713707663355,477.7060412675102,259.39000370375567,5.692473055722673,-3.0419996947280765,2.974624231230181,0.2740202541564977
1993-04-30,0.0407046166694434,477.6816418727152,259.6849761840214,5.671336926819934,-4.73408809950206,0.3996627967856162,0.0374961096891806
1993-05-01,0.0391959330433127,477.6816418727152,259.7104008591357,5.645912251705588,-5.591797341823735,0.0,0.0
1993-05-02,0.0377431675530101,477.4917937063942,259.7226710753082,5.63364203553312,-2.960905553448015,0.0,0.2917667153722954
1993-05-03,0.0403816904987587,477.17709033058736,257.39565648604093,7.960656624800411,-0.0414594011009512,0.4193207487007095,0.714536483572427
1993-05-04,0.0441872730622418,476.80446403976464,257.5536083953917,7.957945036798008,-1.0491799194348914,0.2265724791291051,0.5732734109748993
1993-05-05,0.1303783507260659,483.88640891622856,229.4777792822224,14.246868701464734,5.108303503679451,0.647840666353218,1.4766890087059428
1993-05-06,0.2681747021829119,486.4807631726599,220.8497222828434,13.711205529181154,1.218749080921384,0.0,0.9144975750445342
1993-05-07,0.413977011465371,494.810410660025,195.56549241441624,12.1414626796562,4.549983654731022,0.0,1.4134607568826436
1993-05-08,0.7403068221889371,510.80546374001216,146.29782196904702,9.082735014355904,9.346671770119428,0.0,2.136815606072931
1993-05-09,1.8080366367270968,522.865001457313,106.54031991949384,6.61443541092637,7.444638090956232,0.6982609097721731,1.8649464532612423
1993-05-10,3.1493281179012613,528.07586537172,90.70314356397176,5.631202207063197,2.660572952150005,3.648777989409579,1.1549077723260242
1993-05-11,3.9533024688197074,533.3857748062873,70.24438273604258,4.361043151916904,3.5848898466314267,0.0,1.3018374511284043
1993-05-12,4.9238828503424665,540.6367002912267,45.842991407810366,2.846110335877942,4.373415946692035,3.684045188042702,1.4295199044394935
1993-05-13,5.374058220740659,540.1727443705093,47.70087685874402,2.8441851907377247,-0.891891346997852,2.708764862095488,0.6299978798133029
1993-05-14,5.0584362143429145,540.2831425881632,45.42573491135256,2.82020543764134,-0.0518339294761176,0.1808619914619856,0.7629236955399252
1993-05-15,5.370867500322231,546.2438580062602,20.94698288299052,1.3004697699238823,4.388888086717998,0.0,1.4552102256276551
1993-05-16,6.219571572012339,550.6877671286196,0.0,0.0,6.955904012961071,0.0,1.8625332716575804
1993-05-17,6.399455932590872,549.0071946202712,0.0,0.0,9.310424519616843,0.0,2.2403698319475667
1993-05-18,5.956804553724885,547.3957507095387,0.0,0.0,8.697979673352961,0.0,2.1547904805279
1993-05-19,5.544008631941755,545.3779451455575,0.0,0.0,12.123003976189407,0.0,2.7061121041768508
